"Bench","Genotype","Row","Col","True_Spatial","BNI"
"Bench1","G100",1,1,-18.9574593953805,42.4533660559202
"Bench1","G198",2,1,-18.9574593953805,49.2135130139002
"Bench1","G091",3,1,-18.9574593953805,52.5949607293898
"Bench1","G212",4,1,-18.9574593953805,66.875859577723
"Bench1","G281",5,1,-18.9574593953805,44.5970865955625
"Bench1","G024",6,1,-18.9574593953805,53.0385806903522
"Bench1","G080",7,1,-18.9574593953805,23.7421347778462
"Bench1","G016",8,1,-18.9574593953805,56.5902233633806
"Bench1","G243",9,1,-18.9574593953805,54.8261308468563
"Bench1","G003",10,1,-18.9574593953805,35.5739252638039
"Bench1","G224",1,2,-17.333292137818,22.4336087772829
"Bench1","G149",2,2,-17.333292137818,47.5099999192955
"Bench1","G231",3,2,-17.333292137818,26.8015406941268
"Bench1","G195",4,2,-17.333292137818,18.9390227497647
"Bench1","G010",5,2,-17.333292137818,32.4268482481321
"Bench1","G135",6,2,-17.333292137818,53.5532583516597
"Bench1","G147",7,2,-17.333292137818,36.8504023568621
"Bench1","G170",8,2,-17.333292137818,47.3167045899474
"Bench1","G174",9,2,-17.333292137818,58.5897377801753
"Bench1","G158",10,2,-17.333292137818,27.8048940877498
"Bench1","G107",1,3,-15.7138888426623,31.3980921868109
"Bench1","G227",2,3,-15.7138888426623,50.922912976118
"Bench1","G042",3,3,-15.7138888426623,30.5673708224205
"Bench1","G292",4,3,-15.7138888426623,43.7248697186926
"Bench1","G098",5,3,-15.7138888426623,20.3842308408679
"Bench1","G213",6,3,-15.7138888426623,42.7079225739912
"Bench1","G171",7,3,-15.7138888426623,42.9577117390273
"Bench1","G254",8,3,-15.7138888426623,43.6215972445211
"Bench1","G026",9,3,-15.7138888426623,39.6499742203554
"Bench1","G097",10,3,-15.7138888426623,28.7576351812921
"Bench1","G117",1,4,-14.1039994987976,32.2458592281324
"Bench1","G134",2,4,-14.1039994987976,54.696851423478
"Bench1","G252",3,4,-14.1039994987976,46.9889223579127
"Bench1","G173",4,4,-14.1039994987976,13.7102670205339
"Bench1","G239",5,4,-14.1039994987976,45.1257933568226
"Bench1","G085",6,4,-14.1039994987976,25.9368924914671
"Bench1","G033",7,4,-14.1039994987976,56.8283782077789
"Bench1","G104",8,4,-14.1039994987976,66.0784496219979
"Bench1","G267",9,4,-14.1039994987976,51.858554565513
"Bench1","G130",10,4,-14.1039994987976,49.0214422635349
"Bench1","G256",1,5,-12.5083461890498,23.9831939346944
"Bench1","G126",2,5,-12.5083461890498,40.9954174677845
"Bench1","G035",3,5,-12.5083461890498,42.2329871790957
"Bench1","G156",4,5,-12.5083461890498,29.98349090359
"Bench1","G045",5,5,-12.5083461890498,26.4308504619216
