"Genotype","True_BNI"
"G001",71.45150136576
"G002",48.2236219432469
"G003",59.3575409360481
"G004",62.5943512595325
"G005",59.851219877692
"G006",53.7265058069022
"G007",73.1382639692673
"G008",53.8640915390428
"G009",79.2210845665245
"G010",54.247430811371
"G011",70.6584358506818
"G012",82.4397447124133
"G013",38.3336715866519
"G014",51.6545347981915
"G015",53.4001439632761
"G016",62.6314047768409
"G017",51.5889649430071
"G018",23.1225349491427
"G019",25.7143968570938
"G020",70.8413601487623
"G021",51.3203368710583
"G022",33.62429879224
"G023",52.9369917308845
"G024",69.5760963900712
"G025",77.7423215351796
"G026",49.8343704207256
"G027",51.9127674067728
"G028",33.8420429776626
"G029",60.5211682579753
"G030",47.3200614884786
"G031",60.4654014788946
"G032",63.4580480467458
"G033",67.4212422636391
"G034",47.6928834951135
"G035",61.0594614795756
"G036",34.3958958511199
"G037",45.586491899446
"G038",44.7891088698818
"G039",26.0295082006404
"G040",55.4334712827071
"G041",57.471983202403
"G042",50.667312417416
"G043",64.0979588283942
"G044",46.2795420750811
"G045",38.5806274669685
"G046",60.1938163106646
"G047",45.2632818857599
"G048",72.329215140655
"G049",49.8226455686399
"G050",62.8677746008265
"G051",58.8631031824474
"G052",45.5939327094355
"G053",73.9087302375037
"G054",62.7147916686078
"G055",56.0771277591953
"G056",58.3186089674976
"G057",63.1514657926633
"G058",56.077994638949
"G059",19.0829190021648
"G060",58.4185954423679
"G061",50.5931842871083
"G062",57.2227667783873
"G063",61.9818847283861
"G064",71.7968419275121
"G065",46.2724952863064
"G066",70.6305115845297
"G067",59.0301774370249
"G068",67.4620731843714
"G069",66.0487428194878
"G070",63.6505379544024
"G071",42.4825727371857
"G072",53.9177633606715
"G073",62.4822179439945
"G074",43.5577197067319
"G075",48.4860542251137
"G076",61.9719579721802
"G077",64.2181448540151
"G078",60.565211062482
"G079",44.3706844310838
"G080",41.8026292162257
"G081",73.1524841176591
"G082",58.0950572503844
"G083",56.061282749915
"G084",53.5492415495309
"G085",40.6680532580737
"G086",62.3439627764846
"G087",52.3943218510418
"G088",52.8069195240169
"G089",66.2001559428539
"G090",64.861277326099
"G091",71.7053965112112
"G092",49.2859129233439
"G093",62.8041827287157
"G094",71.69332547668
"G095",41.6705334466252
"G096",44.6704889574659
"G097",41.4191358297548
"G098",37.4894320059713
"G099",55.9597906388939
"G100",62.8384520757903
"G101",69.4115845071819
"G102",67.5370130460127
"G103",42.9614962379218
"G104",77.181782820073
"G105",46.9987190949062
"G106",56.2661657494728
"G107",49.9329294175737
"G108",53.5317979365403
"G109",57.258316414018
"G110",56.4299314959641
"G111",54.6988893895912
"G112",56.2968727353044
"G113",49.17477716984
"G114",48.9493944317452
"G115",35.0668110410223
"G116",50.4119952775142
"G117",48.8481969054664
"G118",87.4226920041376
"G119",38.6546052257234
"G120",56.6470746227033
"G121",37.0764991922045
"G122",37.3547711027584
"G123",56.4964286343641
"G124",43.0403303813916
"G125",54.9781286283435
"G126",49.8608934228902
"G127",47.6359407226061
"G128",30.7038658549707
"G129",40.3030245956802
"G130",57.1541972934153
"G131",61.8114471330824
"G132",49.0854717573583
"G133",55.0007546087842
"G134",68.4746757205596
"G135",72.2782689157143
"G136",41.8346347791301
"G137",53.5921652769979
"G138",69.4179808110364
"G139",49.3632450332044
"G140",54.370366180732
"G141",53.9667124211549
"G142",44.3478517851228
"G143",49.6637919413831
"G144",54.6466614509411
"G145",50.0335738113049
"G146",68.3606322804184
"G147",49.2280859001522
"G148",49.8019716087912
"G149",63.3623509186252
"G150",42.3235790419491
