"Genotype","BNI","BNI_SE"
"G01",68.1162568116561,2.382972411222
"G02",50.4644278676759,2.36939990508089
"G03",61.4065639961258,2.32079649779116
"G04",61.9422720740031,2.46432501723628
"G05",62.2624767808621,2.32013092882027
"G06",53.4594526998776,2.49722570733788
"G07",72.5190059352948,2.48869266927051
"G08",53.0214031901561,2.32227337886279
"G09",78.6968321451431,2.33637468404356
"G10",54.8997295661146,2.34731809311205
"G11",68.7438249352721,2.35790196741583
"G12",81.3000669236697,2.31439147952
"G13",33.6807526553568,2.33452718976079
"G14",52.3649236812131,2.36051847277828
"G15",52.9107625727659,2.48615842087772
"G16",65.7270116190375,2.32420719606368
"G17",52.2429357650994,2.28803091117309
"G18",22.0309812839271,2.37346609537119
"G19",25.7259102137418,2.38101566190008
"G20",67.9749059004429,2.33808287305972
"G21",51.8080733981196,2.37987960850139
"G22",34.7315073637033,2.34847934010575
"G23",53.7313031944073,2.36376008801638
"G24",69.5480587272563,2.40254050533803
"G25",76.2723747188082,2.36320697126069
"G26",49.7254536984953,2.34678572596709
"G27",50.0316113312128,2.30473833212572
"G28",37.1945700217579,2.56890739092628
"G29",58.9341277249549,2.48165587826006
"G30",45.7627732546448,2.40784262820078
"G31",62.8357372941145,2.33587969579065
"G32",66.2054524916425,2.50631865630937
"G33",69.195735274834,2.34657902885269
"G34",46.4489707452336,2.35450070603907
"G35",60.650845577158,2.43392731687471
"G36",34.5536946126341,2.32734109505459
"G37",43.5338528665391,2.37209900014883
"G38",45.3391672829511,2.43417773933814
"G39",25.3132755393192,2.41970340181792
"G40",53.8796950027788,2.48443216723518
"G41",58.9478588354695,2.48595332112589
"G42",47.2532158278634,2.32350060770168
"G43",62.8606667542419,2.33106012813737
"G44",43.7007957646787,2.35138715067854
"G45",39.953107127634,2.46321122419138
"G46",58.2119261811964,2.36575265660904
"G47",45.194308373369,2.35393080404057
"G48",71.6929339090444,2.34274935702541
"G49",49.7580681251989,2.3289630704094
"G50",66.6881933047948,2.3223721152543
"G51",57.7977274455196,2.34751970816755
"G52",44.6507630734478,2.45065855047697
"G53",73.438014373321,2.34083078484862
"G54",67.4712175528319,2.37489355549404
"G55",58.9788192868233,2.40829604549056
"G56",55.8302722845158,2.35540051231367
"G57",62.9859205494073,2.30419714158564
"G58",57.8502109309722,2.3712935050929
"G59",19.9825644535553,2.28441147842219
"G60",63.8753572238457,2.42134142720344
"G61",49.0861899985449,2.37135095520059
"G62",56.6407253480247,2.42595203877149
"G63",60.1935098472418,2.36456412088078
"G64",73.5916769216198,2.31602484922235
"G65",45.739776549266,2.38792983659989
"G66",71.6635293947986,2.29261874112062
"G67",58.9923758009493,2.29475676453774
"G68",68.3328834057687,2.28433948723798
"G69",66.5059037012107,2.34345501229621
"G70",63.3885736829915,2.52313220828252
"G71",40.5424413801476,2.28526069895698
"G72",56.37903285836,2.34728942862518
"G73",60.6397475978036,2.30685212291048
"G74",47.4421700150861,2.76798490766181
"G75",49.3443720026161,2.4064849711893
"G76",57.9320644199618,2.42340024557769
"G77",65.2839653203245,2.32559263749889
"G78",59.8829826947649,2.48035497400767
"G79",43.5789439571522,2.35967602461071
"G80",40.3538509013939,2.38602864582792
"G81",70.2838523348349,2.40035560809114
"G82",57.8328221674031,2.3222772221393
"G83",53.8647484668776,2.31531716371976
"G84",56.9431427395288,2.58154425396795
"G85",40.1268145609577,2.36896879506742
"G86",60.9840794288163,2.42637441342876
"G87",47.063694618384,2.34806133111776
"G88",52.3336243047266,2.46917111948683
"G89",65.4367744033923,2.45024887021891
"G90",65.2547499032468,2.38904152637419
