"Genotype","Row","Col","Bench"
"G06",1,1,"Bench1"
"G86",2,1,"Bench1"
"G38",3,1,"Bench1"
"G90",4,1,"Bench1"
"G84",5,1,"Bench1"
"G15",6,1,"Bench1"
"G34",1,2,"Bench1"
"G42",2,2,"Bench1"
"G60",3,2,"Bench1"
"G12",4,2,"Bench1"
"G26",5,2,"Bench1"
"G41",6,2,"Bench1"
"G65",1,3,"Bench1"
"G66",2,3,"Bench1"
"G56",3,3,"Bench1"
"G24",4,3,"Bench1"
"G25",5,3,"Bench1"
"G61",6,3,"Bench1"
"G62",1,4,"Bench1"
"G14",2,4,"Bench1"
"G89",3,4,"Bench1"
"G77",4,4,"Bench1"
"G32",5,4,"Bench1"
"G27",6,4,"Bench1"
"G10",1,5,"Bench1"
"G57",2,5,"Bench1"
"G28",3,5,"Bench1"
"G54",4,5,"Bench1"
"G37",5,5,"Bench1"
"G69",6,5,"Bench1"
"G49",1,6,"Bench1"
"G82",2,6,"Bench1"
"G05",3,6,"Bench1"
"G35",4,6,"Bench1"
"G71",5,6,"Bench1"
"G76",6,6,"Bench1"
"G64",1,7,"Bench1"
"G33",2,7,"Bench1"
"G72",3,7,"Bench1"
"G78",4,7,"Bench1"
"G80",5,7,"Bench1"
"G31",6,7,"Bench1"
"G45",1,8,"Bench1"
"G43",2,8,"Bench1"
"G68",3,8,"Bench1"
"G17",4,8,"Bench1"
"G67",5,8,"Bench1"
"G30",6,8,"Bench1"
"G36",1,9,"Bench1"
"G20",2,9,"Bench1"
"G11",3,9,"Bench1"
"G48",4,9,"Bench1"
"G09",5,9,"Bench1"
"G39",6,9,"Bench1"
"G13",1,10,"Bench1"
"G59",2,10,"Bench1"
"G01",3,10,"Bench1"
"G52",4,10,"Bench1"
"G70",5,10,"Bench1"
"G63",6,10,"Bench1"
"G02",1,11,"Bench1"
"G08",2,11,"Bench1"
"G16",3,11,"Bench1"
"G03",4,11,"Bench1"
"G58",5,11,"Bench1"
"G83",6,11,"Bench1"
"G81",1,12,"Bench1"
"G46",2,12,"Bench1"
"G19",3,12,"Bench1"
"G50",4,12,"Bench1"
"G85",5,12,"Bench1"
"G87",6,12,"Bench1"
"G51",1,13,"Bench1"
"G73",2,13,"Bench1"
"G07",3,13,"Bench1"
"G79",4,13,"Bench1"
"G88",5,13,"Bench1"
"G55",6,13,"Bench1"
"G74",1,14,"Bench1"
"G44",2,14,"Bench1"
"G47",3,14,"Bench1"
"G21",4,14,"Bench1"
"G18",5,14,"Bench1"
"G04",6,14,"Bench1"
"G29",1,15,"Bench1"
"G75",2,15,"Bench1"
"G23",3,15,"Bench1"
"G22",4,15,"Bench1"
"G53",5,15,"Bench1"
"G40",6,15,"Bench1"
"G89",1,1,"Bench2"
"G61",2,1,"Bench2"
"G33",3,1,"Bench2"
"G86",4,1,"Bench2"
"G19",5,1,"Bench2"
"G70",6,1,"Bench2"
"G30",1,2,"Bench2"
"G02",2,2,"Bench2"
"G38",3,2,"Bench2"
"G09",4,2,"Bench2"
"G56",5,2,"Bench2"
"G75",6,2,"Bench2"
"G06",1,3,"Bench2"
"G31",2,3,"Bench2"
"G69",3,3,"Bench2"
"G14",4,3,"Bench2"
"G64",5,3,"Bench2"
"G47",6,3,"Bench2"
"G65",1,4,"Bench2"
"G41",2,4,"Bench2"
"G10",3,4,"Bench2"
"G49",4,4,"Bench2"
"G22",5,4,"Bench2"
"G01",6,4,"Bench2"
"G04",1,5,"Bench2"
"G59",2,5,"Bench2"
"G53",3,5,"Bench2"
"G82",4,5,"Bench2"
"G90",5,5,"Bench2"
"G72",6,5,"Bench2"
"G05",1,6,"Bench2"
"G42",2,6,"Bench2"
"G20",3,6,"Bench2"
"G34",4,6,"Bench2"
"G23",5,6,"Bench2"
"G36",6,6,"Bench2"
"G58",1,7,"Bench2"
"G81",2,7,"Bench2"
"G27",3,7,"Bench2"
"G46",4,7,"Bench2"
"G51",5,7,"Bench2"
"G03",6,7,"Bench2"
"G77",1,8,"Bench2"
"G18",2,8,"Bench2"
