"geno","row","col","bench","pheno","spatial_trend"
"4",1,1,"single","yield",-49.5861885979511
"10",2,1,"single","yield",-60.0089747591541
"17",3,1,"single","yield",-70.3853322999667
"16",4,1,"single","yield",-80.6935944161524
"21",5,1,"single","yield",-90.8333863587618
"32",6,1,"single","yield",-100.599567839443
"33",7,1,"single","yield",-109.761702287786
"34",8,1,"single","yield",-117.937760750749
"72",9,1,"single","yield",-124.670006108694
"74",10,1,"single","yield",-129.579710245962
"75",11,1,"single","yield",-132.504670150205
"81",12,1,"single","yield",-133.327754937445
"83",13,1,"single","yield",-132.129387690935
"106",14,1,"single","yield",-129.187545461162
"107",15,1,"single","yield",-124.814328101883
"3",16,1,"single","yield",-119.473376465464
"5",17,1,"single","yield",-113.683428848546
"6",18,1,"single","yield",-107.883426130592
"8",19,1,"single","yield",-102.352615542537
"9",20,1,"single","yield",-97.3349525281508
"11",21,1,"single","yield",-92.8393156108667
"13",22,1,"single","yield",-88.6979754203913
"14",1,2,"single","yield",-21.1218820988558
"30",2,2,"single","yield",-25.9955444348147
"15",3,2,"single","yield",-30.6515083750815
"18",4,2,"single","yield",-35.1443791189617
"19",5,2,"single","yield",-39.4876368234725
"20",6,2,"single","yield",-43.6400214633777
"23",7,2,"single","yield",-47.5427702770715
"24",8,2,"single","yield",-51.0218928891479
"25",9,2,"single","yield",-53.8457115178423
"26",10,2,"single","yield",-55.7513558010282
"27",11,2,"single","yield",-56.3922419906547
"28",12,2,"single","yield",-55.422578492716
"35",13,2,"single","yield",-52.8392097714108
"36",14,2,"single","yield",-48.9816163491424
"37",15,2,"single","yield",-44.2152895205656
"38",16,2,"single","yield",-38.9716793715429
"39",17,2,"single","yield",-33.7055277035526
"71",18,2,"single","yield",-28.7440034885208
"73",19,2,"single","yield",-24.1591715179183
"76",20,2,"single","yield",-19.9856254845692
"77",21,2,"single","yield",-16.1552151400609
"78",22,2,"single","yield",-12.5226010715619
"79",1,3,"single","yield",10.4721634521504
"80",2,3,"single","yield",12.6936918611638
"97",3,3,"single","yield",14.8246856915269
"102",4,3,"single","yield",16.6444727848089
"40",5,3,"single","yield",17.9749352654811
"42",6,3,"single","yield",18.6945978551293
"43",7,3,"single","yield",18.706612047694
"44",8,3,"single","yield",18.0881289735577
"45",9,3,"single","yield",17.0034369496967
"46",10,3,"single","yield",15.6809605105536
"47",11,3,"single","yield",14.521886622862
"48",12,3,"single","yield",13.9488997771642
"49",13,3,"single","yield",14.2096170669188
"50",14,3,"single","yield",15.3765881885009
"51",15,3,"single","yield",17.4911592953395
"52",16,3,"single","yield",20.4546588147108
"53",17,3,"single","yield",24.1172104855448
"54",18,3,"single","yield",28.3627007932363
"55",19,3,"single","yield",33.1426693874276
"56",20,3,"single","yield",38.4134314904613
"57",21,3,"single","yield",44.0840756470171
"58",22,3,"single","yield",50.0282100830019
"59",1,4,"single","yield",41.5396270243252
"60",2,4,"single","yield",49.5711283254019
"61",3,4,"single","yield",57.1341117762306
"62",4,4,"single","yield",63.8904570158885
"63",5,4,"single","yield",69.5448639198939
"64",6,4,"single","yield",73.8590289628309
"65",7,4,"single","yield",76.6248121437864
"66",8,4,"single","yield",77.8544054319874
"67",9,4,"single","yield",77.6703081799599
"68",10,4,"single","yield",76.2550965847639
"69",11,4,"single","yield",73.9525947890489
"70",12,4,"single","yield",71.1380190986773
"88",13,4,"single","yield",68.2837174983404
"103",14,4,"single","yield",65.959169651559
"104",15,4,"single","yield",64.6982828888795
"98",16,4,"single","yield",64.7987790563899
"2",17,4,"single","yield",66.4707991536859
"1",18,4,"single","yield",69.8188878675766
"89",19,4,"single","yield",74.7367605423775
"87",20,4,"single","yield",81.0823554654132
"84",21,4,"single","yield",88.5593092095414
"85",22,4,"single","yield",96.7553350117534
"89",1,5,"single","yield",68.4315650190055
"90",2,5,"single","yield",78.2733893351548
"86",3,5,"single","yield",87.5939249627012
"91",4,5,"single","yield",96.1184442230895
"92",5,5,"single","yield",103.575795796154
"93",6,5,"single","yield",109.699588733977
"94",7,5,"single","yield",114.241731277857
"95",8,5,"single","yield",117.105170270334
"96",9,5,"single","yield",118.26849475556
"7",10,5,"single","yield",117.768343286453
"99",11,5,"single","yield",115.797786401543
"100",12,5,"single","yield",112.588096451759
"101",13,5,"single","yield",108.642962804766
"29",14,5,"single","yield",104.738491844961
"104",15,5,"single","yield",101.625205763783
"105",16,5,"single","yield",99.8314896107157
"22",17,5,"single","yield",99.8026292530482
"31",18,5,"single","yield",101.786638802066
"41",19,5,"single","yield",105.637419675268
"12",20,5,"single","yield",111.150833910547
"82",21,5,"single","yield",117.96185001884
"82",22,5,"single","yield",125.584560897823
"104",1,6,"single","yield",87.6632649136959
"18",2,6,"single","yield",95.2026220186844
"70",3,6,"single","yield",102.558856630373
"22",4,6,"single","yield",109.695864185065
"56",5,6,"single","yield",116.504729556331
"41",6,6,"single","yield",122.779621888254
"37",7,6,"single","yield",128.303314210042
"53",8,6,"single","yield",132.819250473977
"86",9,6,"single","yield",136.051309052922
"40",10,6,"single","yield",137.793301265142
"50",11,6,"single","yield",138.029731436341
"16",12,6,"single","yield",136.789991277153
"80",13,6,"single","yield",134.396885114105
"78",14,6,"single","yield",131.466629889619
"26",15,6,"single","yield",128.614472367794
"95",16,6,"single","yield",126.374188267652
"96",17,6,"single","yield",125.248049995138
"17",18,6,"single","yield",125.527879960883
"82",19,6,"single","yield",127.084884265783
"87",20,6,"single","yield",129.735030525986
"44",21,6,"single","yield",133.21929951294
"58",22,6,"single","yield",137.222336103101
"62",1,7,"single","yield",95.9112734344082
"92",2,7,"single","yield",99.4764530040215
"91",3,7,"single","yield",103.33005747658
"36",4,7,"single","yield",107.708886938984
"57",5,7,"single","yield",112.705744348579
"68",6,7,"single","yield",118.221762850907
"23",7,7,"single","yield",124.113828866337
"102",8,7,"single","yield",129.97857795329
"33",9,7,"single","yield",135.282587128714
"47",10,7,"single","yield",139.573374391683
"105",11,7,"single","yield",142.62133865181
"2",12,7,"single","yield",144.245054368531
"104",13,7,"single","yield",144.50739784798
"28",14,7,"single","yield",143.715547242993
"90",15,7,"single","yield",142.20219537463
"32",16,7,"single","yield",140.388423931492
"21",17,7,"single","yield",138.726492391745
"39",18,7,"single","yield",137.493053283467
"76",19,7,"single","yield",136.613605051488
"84",20,7,"single","yield",135.974020767644
"79",21,7,"single","yield",135.491221293232
"89",22,7,"single","yield",135.105452981032
"4",1,8,"single","yield",89.8589203115682
"67",2,8,"single","yield",90.3267294033049
"19",3,8,"single","yield",91.4167381045145
"103",4,8,"single","yield",93.5262910870947
"35",5,8,"single","yield",96.886774603558
"14",6,8,"single","yield",101.508673148799
"107",7,8,"single","yield",107.33752961905
"11",8,8,"single","yield",113.901717069376
"73",9,8,"single","yield",120.521046812304
"30",10,8,"single","yield",126.590496008163
"6",11,8,"single","yield",131.713794599797
"29",12,8,"single","yield",135.539203276797
"75",13,8,"single","yield",137.930205182062
"97",14,8,"single","yield",138.965505911795
"82",15,8,"single","yield",138.764378541702
"10",16,8,"single","yield",137.631326989483
"25",17,8,"single","yield",135.93799168979
"7",18,8,"single","yield",133.930216533525
"52",19,8,"single","yield",131.602157258565
"3",20,8,"single","yield",128.923718360186
"83",21,8,"single","yield",125.94693592322
"88",22,8,"single","yield",122.785549610292
"74",1,9,"single","yield",67.4733204872276
"71",2,9,"single","yield",67.4984720676825
"100",3,9,"single","yield",68.1502332386535
"27",4,9,"single","yield",69.7773938908584
"42",5,9,"single","yield",72.6155519380078
"98",6,9,"single","yield",76.7496392006946
"12",7,9,"single","yield",82.201957377698
"77",8,9,"single","yield",88.5561503484824
"72",9,9,"single","yield",95.1765019292018
"13",10,9,"single","yield",101.470274252832
"64",11,9,"single","yield",106.966113647064
"59",12,9,"single","yield",111.224605283777
"8",13,9,"single","yield",114.070524636852
"5",14,9,"single","yield",115.592837482175
"85",15,9,"single","yield",115.915790044337
"45",16,9,"single","yield",115.304845122823
"101",17,9,"single","yield",114.076712463706
"89",18,9,"single","yield",112.460718950726
"65",19,9,"single","yield",110.511345511388
"99",20,9,"single","yield",108.264398109187
"34",21,9,"single","yield",105.786366997345
"51",22,9,"single","yield",103.166794831547
"15",1,10,"single","yield",31.8567297499438
"81",2,10,"single","yield",32.7893968043377
"106",3,10,"single","yield",34.1503740885955
"61",4,10,"single","yield",36.1336672485915
"69",5,10,"single","yield",38.8989967130017
"66",6,10,"single","yield",42.5604469929785
"38",7,10,"single","yield",47.1877992006286
"9",8,10,"single","yield",52.5050329774435
"24",9,10,"single","yield",58.0631502895069
"55",10,10,"single","yield",63.4130164485841
"60",11,10,"single","yield",68.1086214200209
"46",12,10,"single","yield",71.7184265949646
"93",13,10,"single","yield",74.1316271121804
"31",14,10,"single","yield",75.5581518580516
"63",15,10,"single","yield",76.2262557295285
"43",16,10,"single","yield",76.3901951885212
"54",17,10,"single","yield",76.3133365979734
"48",18,10,"single","yield",76.1990756785754
"1",19,10,"single","yield",76.1308920271062
"49",20,10,"single","yield",76.1737791438786
"20",21,10,"single","yield",76.3318502337968
"94",22,10,"single","yield",76.5634805334173
"5",1,11,"single","yield",-12.6048109000996
"4",2,11,"single","yield",-11.4896068405368
"104",3,11,"single","yield",-10.1408840147803
"46",4,11,"single","yield",-8.47287828217516
"63",5,11,"single","yield",-6.39617352430456
"3",6,11,"single","yield",-3.81649259605989
"48",7,11,"single","yield",-0.660971316602833
"98",8,11,"single","yield",2.96043830824036
"60",9,11,"single","yield",6.84628569946438
"8",10,11,"single","yield",10.7627047144788
"51",11,11,"single","yield",14.3894713599921
"71",12,11,"single","yield",17.4040831467754
"15",13,11,"single","yield",19.7662968527095
"22",14,11,"single","yield",21.7181285227851
"14",15,11,"single","yield",23.5043658621835
"86",16,11,"single","yield",25.3134113375385
"18",17,11,"single","yield",27.3126753045886
"12",18,11,"single","yield",29.633093336539
"69",19,11,"single","yield",32.3327484210653
"87",20,11,"single","yield",35.453941674402
"84",21,11,"single","yield",38.9363243817054
"35",22,11,"single","yield",42.642429366514
"2",1,12,"single","yield",-61.9084955796145
"42",2,12,"single","yield",-63.2702585826371
"81",3,12,"single","yield",-64.3941537732595
"91",4,12,"single","yield",-65.1123837215816
"57",5,12,"single","yield",-65.3187800395606
"25",6,12,"single","yield",-64.9892067164018
"26",7,12,"single","yield",-64.1045464646121
"72",8,12,"single","yield",-62.6400771291134
"80",9,12,"single","yield",-60.5683245823214
"73",10,12,"single","yield",-57.8953927613899
"45",11,12,"single","yield",-54.7188119327148
"52",12,12,"single","yield",-51.1491660447884
"53",13,12,"single","yield",-47.2429670628119
"102",14,12,"single","yield",-43.0026549686953
"17",15,12,"single","yield",-38.4295278091886
"54",16,12,"single","yield",-33.5320591530787
"19",17,12,"single","yield",-28.3214368454908
"96",18,12,"single","yield",-22.819258080472
"92",19,12,"single","yield",-17.067921159705
"7",20,12,"single","yield",-11.1129990029219
"10",21,12,"single","yield",-5.01016262306772
"38",22,12,"single","yield",1.17733050129709
"27",1,13,"single","yield",-121.162555813745
"89",2,13,"single","yield",-126.252074363132
"28",3,13,"single","yield",-130.956241983035
"56",4,13,"single","yield",-134.90614172953
"37",5,13,"single","yield",-137.909662569153
"99",6,13,"single","yield",-140.010033962285
"97",7,13,"single","yield",-141.247355379013
"68",8,13,"single","yield",-141.498316353204
"64",9,13,"single","yield",-140.557893839509
"49",10,13,"single","yield",-138.23966917214
"74",11,13,"single","yield",-134.409500563904
"24",12,13,"single","yield",-128.953825806393
"95",13,13,"single","yield",-122.029823147438
"21",14,13,"single","yield",-114.06541129111
"103",15,13,"single","yield",-105.475455848806
"75",16,13,"single","yield",-96.5274898347578
"94",17,13,"single","yield",-87.434824858504
"55",18,13,"single","yield",-78.4003055355894
"11",19,13,"single","yield",-69.6060186903361
"67",20,13,"single","yield",-61.2195737519699
"30",21,13,"single","yield",-53.2353284835162
"85",22,13,"single","yield",-45.5174806484193
"79",1,14,"single","yield",-204.754166769246
"9",2,14,"single","yield",-210.008660384627
"66",3,14,"single","yield",-214.899468799844
"82",4,14,"single","yield",-219.02753927322
"82",5,14,"single","yield",-222.164674465572
"59",6,14,"single","yield",-224.310097007428
"101",7,14,"single","yield",-225.452263530675
"83",8,14,"single","yield",-225.356651320964
"62",9,14,"single","yield",-223.67725762112
"90",10,14,"single","yield",-220.106464784661
"106",11,14,"single","yield",-214.443359942496
"104",12,14,"single","yield",-206.522741654641
"65",13,14,"single","yield",-196.587255738219
"31",14,14,"single","yield",-185.287395267468
"76",15,14,"single","yield",-173.248678092252
"78",16,14,"single","yield",-160.843152326121
"50",17,14,"single","yield",-148.349688923157
"70",18,14,"single","yield",-136.043270366691
"88",19,14,"single","yield",-124.19139247736
"77",20,14,"single","yield",-113.041706794888
"23",21,14,"single","yield",-102.568397948562
"33",22,14,"single","yield",-92.5402011556787
"47",1,15,"single","yield",-327.487323486896
"29",2,15,"single","yield",-324.377493141149
"100",3,15,"single","yield",-321.418587296261
"93",4,15,"single","yield",-318.652303450733
"89",5,15,"single","yield",-315.987806149507
"107",6,15,"single","yield",-313.157849710852
"39",7,15,"single","yield",-309.869140380819
"32",8,15,"single","yield",-305.712210623782
"40",9,15,"single","yield",-300.219704165658
"58",10,15,"single","yield",-293.069688725097
"13",11,15,"single","yield",-284.337121582552
"34",12,15,"single","yield",-274.166629693646
"61",13,15,"single","yield",-262.767166796348
"20",14,15,"single","yield",-250.412013410982
"43",15,15,"single","yield",-237.351662175501
"36",16,15,"single","yield",-223.684760865949
"44",17,15,"single","yield",-209.4545495488
"41",18,15,"single","yield",-194.757330659264
"105",19,15,"single","yield",-179.795654857654
"6",20,15,"single","yield",-164.77703689014
"1",21,15,"single","yield",-149.798234521884
"16",22,15,"single","yield",-134.872796340802
