"Genotype","BLUE_SpATS","BLUE_mgcv","BLUE_sommer"
"1",676.839862456639,720.733507992563,694.34907922362
"2",644.995210428287,678.961136887757,643.392916594331
"3",610.16462459884,616.443452848813,601.233058763464
"4",549.969321009734,588.415767591992,555.889320295958
"5",596.338064303395,568.15015539161,585.572341339448
"6",554.92742398009,609.844781209985,553.701715146072
"7",512.681721604676,559.978156719833,510.65836416843
"8",563.638078098174,543.156118795551,551.061952335554
"9",492.447480986485,544.336666293744,480.655759299559
"10",608.130361948734,665.125939073008,625.825951023877
"11",527.533812760492,519.434032100765,526.476461278957
"12",542.879986518865,501.642579173603,549.052763217804
"13",620.868633675511,598.408384975159,616.611363399499
"14",421.177805747868,427.509752311387,433.232284098452
"15",487.105546165802,503.64776815191,483.829363573553
"16",695.010208733419,715.676502608369,722.64223062211
"17",646.512121377173,666.254446925571,659.146402766462
"18",548.419345952231,533.94662189438,551.560790968883
"19",607.090922352216,647.893804253386,602.806864576032
"20",569.135698955329,576.627570957334,568.242982318883
"21",566.410512135619,525.219476247363,569.362409664828
"22",548.233770944226,529.14260692249,554.983236927754
"23",613.98065619541,618.328452713791,626.59681980165
"24",623.015918244503,577.640831176343,620.992097632854
"25",500.007044517718,522.293017491458,500.311719330934
"26",600.981738446723,604.649205781995,601.417020882024
"27",484.991375073417,412.593383366883,486.79020380477
"28",626.734212440047,574.540414890105,626.15654098975
"29",574.901071315117,593.908034480114,560.375363502732
"30",528.865666732074,515.150817691524,535.765098594546
"31",575.782665078265,599.671954039163,576.038708202928
"32",603.782436319127,575.664200275139,603.951801195121
"33",492.536739944091,505.091194210041,509.310710360881
"34",693.769366653329,643.953436917149,692.443402016015
"35",496.379790334525,516.552193299508,502.034247957937
"36",658.43776102101,631.233720934315,671.071531491321
"37",550.29077427658,505.169633626541,557.411751617969
"38",474.53801139791,509.769721988133,477.322569301112
"39",523.544547822067,497.038353644886,512.995555829699
"40",637.313125582627,640.49907569012,632.508515258531
"41",593.908607378298,583.593884567024,607.238918353632
"42",686.547709077253,690.956369410189,686.531411597413
"43",687.91005858948,709.860714026655,697.716188283975
"44",640.330036152179,651.688159589009,648.179867930497
"45",643.091296328496,638.776945423357,645.981398299065
"46",667.531769265572,683.259345200244,661.644126957422
"47",584.409490396538,599.15933059544,569.041171798757
"48",655.607344008043,676.973983897151,656.414614641412
"49",597.38625475406,596.063393576004,602.090526061697
"50",597.343741949837,634.391384270652,599.921951821607
"51",584.008118615402,556.452909762967,579.233707020891
"52",622.577239447152,668.790869840873,617.789020256594
"53",576.030465009009,621.993556427469,575.629444698309
"54",594.269760865247,641.35698066969,600.570902238628
"55",674.82905512045,671.220035292922,673.66360256203
"56",621.005695624967,610.178732054272,630.711331235495
"57",587.812054184724,622.521527874829,596.845592824488
"58",683.26501562912,699.631789023491,686.066093429003
"59",611.52540387612,592.568815694967,598.310452344884
"60",669.969459430025,700.215305787945,663.293469052891
"61",638.805434997756,660.727022459248,634.584639052679
"62",636.455299432703,630.22424018202,631.049287893744
"63",555.039244927051,584.674412216804,555.081897434804
"64",641.064585896333,579.285063172227,635.100521558127
"65",638.371709594656,640.922548373778,632.944385250229
"66",598.859181437697,641.167922522708,594.463804872095
"67",559.756849275769,566.30653450129,554.650018566182
"68",601.099608653567,559.596475686645,596.601647288508
"69",608.76187528646,651.310760876724,607.439731226622
"70",572.882920557258,591.483365823327,575.781787787485
"71",559.44648757056,510.418531224171,550.871016662145
"72",635.769555562572,608.654537609745,632.249446285474
"73",534.908169542857,574.27465208552,534.395314404634
"74",593.301802168353,513.885712091274,591.529332266344
"75",601.947729914588,588.225520258171,601.759805720297
"76",519.610541434555,515.887920890363,519.782937176947
"77",546.099500999221,535.271220050501,551.674877549553
"78",537.713469102961,548.962669087255,545.664987612167
"79",519.609185837578,536.784415337684,512.672667064723
"80",473.768496816861,508.798996186115,475.816020048165
"81",664.510258012898,695.390324977189,659.389108906423
"82",667.84056598244,675.242058120651,667.766869164191
"83",626.979824623641,649.248182823945,619.482722861891
"84",546.466995162239,549.857496071996,547.487066916224
"85",597.619538893891,552.483801377918,608.295585713609
"86",538.800224944385,508.754146004245,545.673089396063
"87",589.158121902835,627.665825082466,591.936706908432
"88",621.982276304323,684.432010836699,621.561145389545
"89",586.120920926837,550.617940131816,579.947971730882
"90",617.748594966,585.282802943384,621.42401337187
"91",553.006861564845,541.950258698615,555.221116532474
"92",582.196532045422,595.317665392064,578.927463968989
"93",639.902510874418,647.935649784219,626.831864742112
"94",677.884959892234,652.625755046653,678.836259447781
"95",602.89627852092,547.419875086476,607.203648373777
"96",675.765059289635,679.012823358934,681.318008476402
"97",481.664984242038,486.035361869556,474.931761742656
"98",695.685278980043,652.240618140249,698.631350627903
"99",731.13410472449,658.74860679744,723.99914096313
"100",592.674523703034,534.566380985911,575.333937115476
"101",677.576320287657,648.148288501176,673.952913182855
"102",508.370046980819,538.593911739761,507.98022981968
"103",577.759442603208,561.27504529848,581.225106971672
"104",492.395550521511,475.785618416257,490.164473191161
"105",618.41200077656,607.625690835605,628.390270481979
"106",605.156129123179,627.507824178679,601.876095059005
"107",575.608082546712,578.443662333068,566.129009815033
